DistrictName,CrimeGroupName,Month,CaseCount,BaselineMean,ZScore,AlertLevel
Shimoga,Crimes Against Body,2026-05,5,2.7,2.47,Moderate
Tumkur,Crimes Against Body,2023-12,4,2.0,2.45,Moderate
Kodagu,Economic Offences,2026-02,4,2.0,2.45,Moderate
Dharwad,Crimes Against Property,2024-02,4,2.0,2.45,Moderate
Bellary,Crimes Against Property,2026-01,4,2.0,2.45,Moderate
Kodagu,Cybercrime,2024-06,4,2.0,2.45,Moderate
Udupi,Crimes Against Property,2025-05,4,2.0,2.45,Moderate
Bangalore Urban,Crimes Against Property,2026-11,4,2.0,2.45,Moderate
Hassan,Crimes Against Property,2025-04,4,1.8,2.41,Moderate
Bijapur,Crimes Against Body,2026-11,4,1.8,2.41,Moderate
Shimoga,Crimes Against Property,2024-08,5,2.3,2.41,Moderate
Mysore,Crimes Against Property,2025-11,5,2.8,2.41,Moderate
Shimoga,Crimes Against Property,2025-11,4,1.8,2.41,Moderate
Dakshina Kannada,Crimes Against Body,2024-08,4,1.8,2.41,Moderate
Dharwad,Crimes Against Property,2024-11,4,1.8,2.41,Moderate
Dakshina Kannada,Economic Offences,2023-12,2,1.2,2.24,Moderate
Dakshina Kannada,Crimes Against Women,2025-01,2,1.2,2.24,Moderate
Dharwad,Crimes Against Property,2026-01,5,2.5,2.24,Moderate
Dakshina Kannada,Crimes Against Body,2025-08,2,1.2,2.24,Moderate
Hassan,Crimes Against Women,2024-12,2,1.2,2.24,Moderate
Hassan,Crimes Against Women,2024-01,2,1.2,2.24,Moderate
Dakshina Kannada,Crimes Against Women,2025-05,2,1.2,2.24,Moderate
Hassan,Cybercrime,2026-03,2,1.2,2.24,Moderate
Bijapur,Cybercrime,2024-01,2,1.2,2.24,Moderate
Dakshina Kannada,Economic Offences,2026-03,2,1.2,2.24,Moderate
Dakshina Kannada,Economic Offences,2024-09,2,1.2,2.24,Moderate
Chitradurga,Crimes Against Women,2025-06,2,1.2,2.24,Moderate
Dharwad,Economic Offences,2024-11,2,1.2,2.24,Moderate
Kodagu,Cybercrime,2026-09,2,1.2,2.24,Moderate
Bellary,Cybercrime,2026-08,2,1.2,2.24,Moderate
Bellary,Crimes Against Women,2025-03,4,1.5,2.24,Moderate
Kodagu,Crimes Against Women,2024-02,3,1.3,2.24,Moderate
Mysore,Economic Offences,2023-11,2,1.2,2.24,Moderate
Mysore,Cybercrime,2023-09,4,1.5,2.24,Moderate
Mysore,Crimes Against Body,2026-07,4,1.5,2.24,Moderate
Shimoga,Economic Offences,2023-10,2,1.2,2.24,Moderate
Tumkur,Crimes Against Property,2024-04,3,2.2,2.24,Moderate
Bangalore Urban,Economic Offences,2025-01,2,1.2,2.24,Moderate
Bangalore Urban,Cybercrime,2025-05,2,1.2,2.24,Moderate
Mysore,Economic Offences,2025-01,2,1.2,2.24,Moderate
Bijapur,Cybercrime,2025-07,3,1.3,2.24,Moderate
Bijapur,Cybercrime,2023-10,2,1.2,2.24,Moderate
Gulbarga,Economic Offences,2026-12,2,1.2,2.24,Moderate
Dharwad,Cybercrime,2023-12,2,1.2,2.24,Moderate
Dharwad,Crimes Against Women,2025-09,2,1.2,2.24,Moderate
Chitradurga,Crimes Against Women,2026-10,2,1.2,2.24,Moderate
Dharwad,Cybercrime,2025-03,2,1.2,2.24,Moderate
Gulbarga,Cybercrime,2023-07,3,1.3,2.24,Moderate
Udupi,Economic Offences,2025-06,2,1.2,2.24,Moderate
Udupi,Crimes Against Body,2024-03,4,2.3,2.24,Moderate
Belgaum,Crimes Against Body,2023-11,4,2.3,2.24,Moderate
Tumkur,Crimes Against Women,2025-03,3,1.3,2.24,Moderate
Bangalore Urban,Cybercrime,2024-11,2,1.2,2.24,Moderate
Belgaum,Crimes Against Body,2024-07,2,1.2,2.24,Moderate
Bangalore Urban,Economic Offences,2026-04,3,1.3,2.24,Moderate
Tumkur,Economic Offences,2025-05,2,1.2,2.24,Moderate
Shimoga,Crimes Against Women,2024-09,2,1.2,2.24,Moderate
Raichur,Cybercrime,2026-01,3,1.3,2.24,Moderate
Raichur,Cybercrime,2023-12,2,1.2,2.24,Moderate
Mysore,Economic Offences,2025-04,2,1.2,2.24,Moderate
Dharwad,Crimes Against Women,2024-04,2,1.2,2.24,Moderate
Chitradurga,Crimes Against Body,2024-07,4,2.3,2.24,Moderate
Dakshina Kannada,Economic Offences,2026-04,2,1.2,2.24,Moderate
Udupi,Crimes Against Women,2026-11,2,1.2,2.24,Moderate
Gulbarga,Cybercrime,2026-05,3,1.3,2.24,Moderate
Gulbarga,Economic Offences,2025-03,3,1.3,2.24,Moderate
Chitradurga,Cybercrime,2024-12,2,1.2,2.24,Moderate
Dharwad,Crimes Against Women,2025-04,2,1.2,2.24,Moderate
Udupi,Cybercrime,2025-02,2,1.2,2.24,Moderate
Udupi,Cybercrime,2024-06,3,1.3,2.24,Moderate
Dakshina Kannada,Economic Offences,2025-01,2,1.2,2.24,Moderate
Chitradurga,Crimes Against Property,2026-06,6,3.0,2.12,Moderate
Tumkur,Crimes Against Property,2023-07,4,2.2,2.11,Moderate
Bangalore Urban,Crimes Against Body,2025-05,4,1.7,2.11,Moderate
Shimoga,Crimes Against Body,2025-07,4,1.7,2.11,Moderate
Bellary,Crimes Against Body,2024-03,4,2.2,2.04,Moderate
Chitradurga,Crimes Against Body,2026-07,4,2.2,2.04,Moderate
Hassan,Crimes Against Property,2025-12,5,2.8,2.03,Moderate
Udupi,Cybercrime,2024-05,3,1.0,2.0,Moderate
Dharwad,Crimes Against Body,2026-01,4,2.0,2.0,Moderate
Dakshina Kannada,Crimes Against Property,2025-08,4,2.0,2.0,Moderate
Dakshina Kannada,Crimes Against Women,2023-07,3,1.0,2.0,Moderate
Dakshina Kannada,Crimes Against Women,2026-09,2,1.0,2.0,Moderate
Dharwad,Economic Offences,2024-09,2,1.0,2.0,Moderate
Chitradurga,Crimes Against Women,2026-06,2,1.0,2.0,Moderate
Bijapur,Crimes Against Property,2024-04,4,2.0,2.0,Moderate
Chitradurga,Economic Offences,2023-08,2,1.0,2.0,Moderate
Bijapur,Economic Offences,2023-04,3,1.0,2.0,Moderate
Dharwad,Crimes Against Women,2023-09,2,1.0,2.0,Moderate
Dharwad,Cybercrime,2023-11,2,1.0,2.0,Moderate
Dharwad,Economic Offences,2023-11,3,1.0,2.0,Moderate
Tumkur,Economic Offences,2026-07,2,1.0,2.0,Moderate
Bangalore Urban,Economic Offences,2024-09,2,1.0,2.0,Moderate
Tumkur,Crimes Against Women,2025-02,3,1.0,2.0,Moderate
Bangalore Urban,Cybercrime,2023-08,4,1.0,2.0,Moderate
Belgaum,Economic Offences,2026-04,3,1.0,2.0,Moderate
Bellary,Crimes Against Body,2023-05,2,1.0,2.0,Moderate
Raichur,Cybercrime,2025-10,3,1.0,2.0,Moderate
Kodagu,Crimes Against Property,2026-04,4,2.0,2.0,Moderate
Mysore,Crimes Against Body,2023-12,3,1.0,2.0,Moderate
Bellary,Crimes Against Women,2024-09,4,1.0,2.0,Moderate
Bellary,Cybercrime,2025-08,2,1.0,2.0,Moderate
Bellary,Crimes Against Women,2026-11,2,1.0,2.0,Moderate
Udupi,Economic Offences,2025-01,2,1.0,2.0,Moderate
Dharwad,Crimes Against Body,2024-03,4,1.0,2.0,Moderate
Shimoga,Cybercrime,2025-10,3,1.0,2.0,Moderate
Shimoga,Crimes Against Women,2024-07,2,1.0,2.0,Moderate
Raichur,Crimes Against Women,2025-05,3,1.0,2.0,Moderate
Shimoga,Crimes Against Property,2026-06,6,4.0,2.0,Moderate
Shimoga,Crimes Against Women,2023-06,2,1.0,2.0,Moderate
Shimoga,Cybercrime,2023-09,2,1.0,2.0,Moderate
Raichur,Cybercrime,2023-08,2,1.2,2.0,Moderate
Bellary,Crimes Against Property,2026-06,5,3.0,2.0,Moderate
Mysore,Economic Offences,2023-10,2,1.0,2.0,Moderate
Raichur,Crimes Against Women,2024-01,2,1.0,2.0,Moderate
Hassan,Economic Offences,2025-05,4,2.0,2.0,Moderate
Bijapur,Crimes Against Women,2023-10,2,1.2,2.0,Moderate
Kodagu,Economic Offences,2023-06,3,1.0,2.0,Moderate
Chitradurga,Crimes Against Property,2023-09,5,2.5,1.99,Moderate
Belgaum,Crimes Against Property,2025-03,4,2.5,1.96,Moderate
Shimoga,Cybercrime,2026-04,3,1.5,1.96,Moderate
Belgaum,Crimes Against Property,2026-03,4,2.5,1.96,Moderate
Belgaum,Crimes Against Women,2025-12,3,1.5,1.96,Moderate
Bangalore Urban,Crimes Against Property,2024-12,3,1.5,1.96,Moderate
Bangalore Urban,Crimes Against Women,2026-06,3,1.5,1.96,Moderate
Udupi,Cybercrime,2025-10,3,1.5,1.96,Moderate
Gulbarga,Cybercrime,2026-07,3,1.5,1.96,Moderate
Chitradurga,Crimes Against Body,2023-10,3,1.5,1.96,Moderate
Gulbarga,Economic Offences,2025-10,3,1.5,1.96,Moderate
Gulbarga,Crimes Against Women,2026-02,3,1.5,1.96,Moderate
Gulbarga,Crimes Against Body,2026-12,3,1.5,1.96,Moderate
Hassan,Crimes Against Women,2024-04,3,1.5,1.96,Moderate
Hassan,Crimes Against Property,2025-03,3,1.5,1.96,Moderate
Bangalore Urban,Crimes Against Women,2026-07,3,1.5,1.96,Moderate
Belgaum,Cybercrime,2026-09,3,1.5,1.96,Moderate
Kodagu,Economic Offences,2025-03,3,1.5,1.96,Moderate
Kodagu,Crimes Against Property,2023-07,5,3.2,1.84,Moderate
Tumkur,Crimes Against Property,2024-10,4,2.7,1.79,Moderate
Shimoga,Crimes Against Body,2024-07,5,2.3,1.79,Moderate
Bangalore Urban,Cybercrime,2026-06,3,1.7,1.79,Moderate
Tumkur,Crimes Against Women,2026-03,3,1.7,1.79,Moderate
Kodagu,Crimes Against Body,2024-03,3,1.7,1.79,Moderate
Mysore,Crimes Against Body,2026-12,4,1.8,1.79,Moderate
Raichur,Crimes Against Body,2024-08,3,1.7,1.79,Moderate
Shimoga,Crimes Against Women,2025-10,3,1.7,1.79,Moderate
Kodagu,Crimes Against Body,2024-04,3,1.7,1.79,Moderate
Kodagu,Crimes Against Body,2026-09,3,1.7,1.79,Moderate
Mysore,Crimes Against Women,2026-05,3,1.7,1.79,Moderate
Bijapur,Crimes Against Body,2024-04,3,1.7,1.79,Moderate
Gulbarga,Crimes Against Body,2025-08,3,1.7,1.79,Moderate
Chitradurga,Crimes Against Property,2026-05,5,2.8,1.79,Moderate
Udupi,Crimes Against Women,2025-11,3,1.7,1.79,Moderate
Udupi,Crimes Against Women,2024-07,3,1.7,1.79,Moderate
Bijapur,Crimes Against Property,2025-03,4,2.7,1.79,Moderate
Bangalore Urban,Crimes Against Body,2026-08,3,1.7,1.79,Moderate
Shimoga,Crimes Against Property,2025-08,3,1.7,1.79,Moderate
Belgaum,Cybercrime,2024-04,3,1.7,1.79,Moderate
Bijapur,Crimes Against Property,2024-07,4,2.3,1.77,Moderate
Gulbarga,Crimes Against Property,2024-12,4,2.3,1.77,Moderate
Raichur,Crimes Against Property,2025-07,4,2.3,1.77,Moderate
Mysore,Crimes Against Property,2025-09,4,2.3,1.77,Moderate
Belgaum,Cybercrime,2023-04,4,2.3,1.77,Moderate
Dakshina Kannada,Crimes Against Property,2026-01,4,2.3,1.77,Moderate
Belgaum,Crimes Against Body,2025-06,4,2.3,1.77,Moderate
Bellary,Crimes Against Property,2023-06,3,1.6,1.75,Moderate
Bijapur,Economic Offences,2023-06,3,1.6,1.75,Moderate
Gulbarga,Crimes Against Women,2024-03,3,1.6,1.75,Moderate
Udupi,Crimes Against Property,2023-12,5,3.0,1.73,Moderate
Mysore,Crimes Against Body,2024-08,4,2.0,1.73,Moderate
Mysore,Crimes Against Body,2024-10,4,2.0,1.73,Moderate
Bellary,Cybercrime,2023-06,2,1.2,1.73,Moderate
Bellary,Crimes Against Body,2023-06,2,1.2,1.73,Moderate
Shimoga,Cybercrime,2023-11,2,1.2,1.73,Moderate
Bellary,Crimes Against Body,2026-09,3,2.0,1.73,Moderate
Udupi,Cybercrime,2026-06,3,2.0,1.73,Moderate
Dharwad,Crimes Against Property,2024-12,4,2.0,1.73,Moderate
Bellary,Crimes Against Body,2026-11,3,2.0,1.73,Moderate
Hassan,Crimes Against Property,2025-10,4,2.2,1.72,Moderate
Bijapur,Crimes Against Property,2023-12,4,2.2,1.72,Moderate
Bangalore Urban,Crimes Against Body,2023-11,4,2.2,1.72,Moderate
Udupi,Crimes Against Property,2025-04,3,1.8,1.7,Moderate
Bangalore Urban,Crimes Against Property,2026-03,3,1.8,1.7,Moderate
Udupi,Crimes Against Property,2025-03,3,1.8,1.7,Moderate
Udupi,Crimes Against Property,2025-10,4,2.8,1.7,Moderate
Dakshina Kannada,Crimes Against Women,2024-02,3,1.8,1.7,Moderate
Hassan,Crimes Against Body,2023-12,3,1.8,1.7,Moderate
Gulbarga,Crimes Against Property,2025-11,3,1.8,1.7,Moderate
Tumkur,Crimes Against Body,2026-10,3,1.8,1.7,Moderate
Udupi,Crimes Against Body,2025-07,3,1.8,1.7,Moderate
Raichur,Crimes Against Body,2023-09,3,1.8,1.7,Moderate
Raichur,Cybercrime,2024-06,3,1.8,1.7,Moderate
Bijapur,Crimes Against Body,2026-01,3,1.8,1.7,Moderate
Hassan,Crimes Against Body,2025-10,3,1.8,1.7,Moderate
Bijapur,Economic Offences,2026-11,3,1.8,1.7,Moderate
Chitradurga,Crimes Against Body,2024-04,3,1.8,1.7,Moderate
Gulbarga,Crimes Against Property,2024-08,3,1.8,1.7,Moderate
Gulbarga,Crimes Against Body,2025-02,3,1.8,1.7,Moderate
Bellary,Economic Offences,2026-08,3,1.8,1.7,Moderate
Bijapur,Crimes Against Women,2025-11,3,1.8,1.7,Moderate
Hassan,Economic Offences,2026-07,3,1.8,1.7,Moderate
Kodagu,Economic Offences,2025-08,3,1.8,1.7,Moderate
Bellary,Crimes Against Property,2025-10,3,1.8,1.7,Moderate
Kodagu,Cybercrime,2023-08,3,1.8,1.6,Moderate
Dharwad,Crimes Against Property,2024-04,4,2.5,1.57,Moderate
Mysore,Crimes Against Property,2024-02,4,2.5,1.57,Moderate
Hassan,Crimes Against Property,2026-09,4,2.5,1.57,Moderate
Bijapur,Crimes Against Property,2025-06,4,2.5,1.57,Moderate
Tumkur,Crimes Against Property,2025-06,4,2.5,1.57,Moderate
Belgaum,Crimes Against Property,2025-05,4,2.5,1.57,Moderate
Tumkur,Crimes Against Property,2026-09,5,3.0,1.55,Moderate
Udupi,Crimes Against Property,2023-07,4,2.2,1.54,Moderate
Hassan,Crimes Against Body,2026-06,5,3.3,1.51,Moderate
Dharwad,Crimes Against Property,2026-09,4,2.3,1.51,Moderate
Bijapur,Crimes Against Women,2026-07,4,2.2,1.51,Moderate
Mysore,Crimes Against Body,2025-06,4,2.3,1.51,Moderate
Raichur,Crimes Against Property,2025-04,4,2.3,1.51,Moderate
Mysore,Crimes Against Property,2026-09,4,2.3,1.51,Moderate
Shimoga,Crimes Against Property,2024-07,4,2.3,1.51,Moderate
Udupi,Crimes Against Property,2023-09,4,2.3,1.51,Moderate
