ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
127,153,1,2024-05-31,1,6,23,5,12,264,1,0
128,154,1,2025-11-10,1,4,13,83,8,267,1,0
129,154,1,2025-11-05,1,4,13,83,8,268,1,0
130,155,1,2025-06-04,1,15,58,32,30,269,1,0
131,156,1,2024-10-31,1,14,54,164,28,270,1,0
132,156,2,2024-10-06,1,14,54,164,28,272,1,0
133,158,1,2023-07-13,1,2,7,195,3,274,1,0
134,160,1,2023-04-13,1,9,32,123,17,277,1,0
135,161,2,2025-05-22,1,3,10,211,6,279,1,0
136,162,1,2025-01-16,1,5,18,247,10,281,1,0
137,162,2,2025-01-19,1,5,18,247,10,282,1,0
138,162,1,2025-01-28,1,5,18,247,10,283,1,0
139,163,1,2024-03-24,1,6,23,119,11,284,1,0
140,165,1,2023-04-06,1,15,57,49,30,286,1,0
141,166,2,2024-05-04,1,13,51,237,26,287,1,0
142,166,2,2024-03-24,1,13,51,237,26,288,1,0
143,166,1,2024-05-06,1,13,51,237,26,289,1,0
144,167,1,2024-05-19,1,8,28,36,15,291,1,0
145,168,2,2025-05-14,1,1,3,2,2,293,1,0
146,168,1,2025-05-10,1,1,3,2,2,294,1,0
147,169,1,2026-01-01,1,7,26,95,13,295,1,0
148,172,1,2026-04-28,1,15,58,66,29,300,1,0
149,174,2,2024-03-29,1,10,36,228,19,303,1,0
150,175,1,2024-11-05,1,12,47,205,24,304,1,0
151,175,1,2024-11-23,2,16,47,205,24,305,1,0
152,175,2,2024-11-17,1,12,47,205,24,306,1,0
153,176,1,2025-12-24,1,15,60,27,29,310,1,0
154,176,1,2026-02-12,1,15,60,27,29,311,1,0
155,177,2,2025-11-04,1,3,11,238,5,312,1,0
156,177,1,2025-09-16,1,3,11,238,5,313,1,0
157,178,1,2025-07-05,4,20,20,113,10,314,1,0
158,179,1,2024-09-16,1,10,36,48,20,315,1,0
159,181,1,2024-06-22,1,10,36,213,19,317,1,0
160,181,1,2024-05-23,1,10,36,213,19,318,1,0
161,182,1,2023-09-26,1,9,31,120,17,320,1,0
162,183,1,2026-12-14,1,5,18,198,9,323,1,0
163,185,2,2025-05-03,1,9,31,219,18,325,1,0
164,187,1,2026-07-25,1,15,57,248,30,328,1,0
165,188,1,2026-08-13,1,13,51,237,25,331,1,0
166,188,1,2026-08-12,1,13,51,237,25,332,1,0
167,189,1,2025-09-15,1,12,47,68,24,333,1,0
168,190,1,2024-12-17,1,8,29,118,15,334,1,1
169,190,1,2024-10-25,1,8,29,118,15,335,1,0
170,191,2,2024-05-09,1,7,25,132,14,336,1,0
171,193,2,2025-08-20,1,9,33,180,17,338,1,0
172,193,1,2025-08-27,1,9,33,180,17,341,1,0
173,194,2,2026-10-16,1,6,23,57,11,343,1,0
174,195,1,2025-03-09,1,6,22,99,11,344,1,0
175,199,2,2025-11-12,1,11,42,244,21,349,1,0
176,200,1,2026-07-29,1,9,31,120,18,350,1,0
177,200,2,2026-07-17,1,9,31,120,18,353,1,0
178,201,1,2026-06-18,1,3,11,238,5,354,1,0
179,202,1,2026-06-09,1,9,33,129,17,355,1,0
180,202,1,2026-05-15,1,9,33,129,17,356,1,0
181,203,1,2023-07-24,1,3,10,171,5,357,1,0
182,204,1,2025-10-31,1,5,19,216,9,360,1,0
183,204,2,2025-09-28,1,5,19,216,9,361,1,0
184,204,1,2025-11-08,4,21,19,216,9,362,1,0
185,205,1,2026-05-16,1,14,55,242,28,363,1,0
186,205,2,2026-06-03,1,14,55,242,28,364,1,0
187,206,2,2024-07-15,1,5,19,71,10,365,1,0
188,206,1,2024-07-21,1,5,19,71,10,366,1,0
189,207,2,2023-11-06,1,13,51,182,26,369,1,0
190,208,1,2023-02-02,1,2,8,56,3,370,1,0
191,210,2,2023-08-22,1,14,54,131,27,372,1,0
192,212,2,2024-06-07,1,1,3,166,2,375,1,0
193,212,2,2024-06-23,1,1,3,166,2,376,1,0
194,212,1,2024-06-02,1,1,3,166,2,377,1,0
195,219,1,2023-09-24,1,10,36,213,19,388,1,0
196,219,1,2023-09-23,1,10,36,213,19,390,1,0
197,221,2,2024-09-21,1,1,4,104,2,393,1,0
198,222,1,2023-03-24,4,21,8,89,3,394,1,0
199,224,1,2025-09-29,1,5,18,202,10,401,1,0
200,225,1,2023-01-28,1,14,55,76,27,402,1,0
201,226,2,2026-01-23,1,11,39,67,22,403,1,0
202,227,2,2025-12-24,1,5,20,113,9,404,1,0
203,228,1,2023-10-09,1,9,34,140,18,406,1,0
204,228,1,2023-12-03,1,9,34,140,18,407,1,0
205,229,1,2026-05-22,1,11,41,8,21,408,1,0
206,230,1,2024-12-12,1,7,25,132,13,409,1,0
207,230,1,2024-11-05,1,7,25,132,13,410,1,0
208,230,2,2024-12-07,1,7,25,132,13,411,1,0
209,232,1,2024-02-22,1,12,46,196,23,413,1,0
210,232,1,2024-03-02,1,12,46,196,23,414,1,0
211,232,1,2024-03-15,1,12,46,196,23,415,1,0
212,233,1,2025-08-03,1,11,39,25,22,416,1,0
213,233,1,2025-06-23,1,11,39,25,22,417,1,0
214,233,2,2025-06-24,1,11,39,25,22,418,1,0
215,234,1,2023-11-08,1,4,14,163,8,419,1,0
216,236,1,2026-06-22,1,4,15,7,8,422,1,0
217,237,1,2025-01-26,3,18,7,138,4,426,1,0
218,240,1,2024-12-15,1,2,7,125,4,429,1,0
219,241,1,2027-01-13,1,11,42,117,21,430,1,0
220,242,1,2024-01-06,1,11,41,142,22,431,1,0
221,243,2,2026-09-27,1,9,32,123,17,433,1,0
222,243,1,2026-09-20,1,9,32,123,17,434,1,0
223,243,2,2026-09-06,1,9,32,123,17,435,1,0
224,244,1,2025-08-03,1,12,46,126,23,436,1,0
225,245,1,2025-06-23,1,14,55,146,27,437,1,0
226,246,2,2024-09-16,1,12,46,196,24,440,1,0
227,249,1,2024-02-16,1,6,22,93,11,444,1,0
228,250,2,2025-03-15,1,3,10,171,5,445,1,0
229,250,1,2025-01-23,1,3,10,171,5,447,1,0
230,251,2,2023-04-01,1,1,3,166,2,448,1,0
231,253,2,2023-11-20,1,11,41,59,22,450,1,0
232,255,1,2025-04-25,2,17,8,176,3,454,1,0
233,256,1,2025-10-24,1,12,47,58,23,455,1,0
234,257,1,2026-06-17,1,11,42,60,22,456,1,0
235,259,1,2026-06-09,1,2,8,176,3,459,1,0
236,260,1,2023-10-29,1,4,14,163,8,460,1,0
237,261,1,2025-11-29,1,2,8,209,3,461,1,0
238,262,1,2024-12-24,1,7,26,38,13,463,1,0
239,262,1,2024-12-17,1,7,26,38,13,464,1,0
240,264,1,2025-07-20,1,7,26,23,13,466,1,0
241,265,1,2025-01-21,1,2,7,145,3,467,1,0
242,266,2,2025-01-27,1,8,29,187,15,468,1,0
243,268,1,2023-02-07,1,2,8,234,4,473,1,0
244,271,1,2025-08-27,1,9,31,120,18,477,1,0
245,271,1,2025-08-20,2,16,31,120,18,478,1,0
246,272,1,2024-01-04,3,19,55,162,27,480,1,0
247,272,1,2024-02-14,1,14,55,162,27,481,1,0
248,273,1,2025-07-07,1,7,26,206,13,482,1,0
249,275,1,2025-11-02,1,12,45,214,23,485,1,0
250,275,1,2025-12-08,1,12,45,214,23,486,1,0
251,277,1,2026-06-23,1,11,39,116,22,488,1,1
252,278,1,2023-06-13,1,7,26,95,13,489,1,0
253,279,2,2025-01-17,1,13,52,34,25,490,1,0
254,281,1,2023-05-08,1,7,26,144,14,493,1,0
255,281,1,2023-03-19,1,7,26,144,14,494,1,0
256,281,1,2023-05-07,1,7,26,144,14,495,1,0
257,282,1,2026-03-13,1,9,31,219,18,496,1,0
258,282,1,2026-02-17,1,9,31,219,18,497,1,0
259,282,1,2026-03-21,1,9,31,219,18,498,1,0
260,283,1,2026-07-23,1,1,3,2,1,500,1,0
261,285,1,2025-01-02,1,15,57,41,29,503,1,0
262,285,2,2024-12-09,1,15,57,41,29,504,1,0
263,285,1,2024-12-18,1,15,57,41,29,505,1,0
264,286,1,2023-02-16,1,13,50,133,25,506,1,0
265,287,1,2023-05-30,1,3,11,238,6,508,1,0
266,287,1,2023-07-23,1,3,11,238,6,509,1,0
267,288,1,2026-03-21,1,3,10,65,6,510,1,0
268,289,1,2025-02-05,1,8,29,187,16,511,1,0
269,290,1,2024-09-20,1,9,32,123,17,512,1,0
270,291,1,2026-06-09,1,15,60,27,30,513,1,0
271,292,1,2024-07-11,1,1,3,166,1,515,1,0
272,294,1,2024-08-29,1,3,11,158,5,518,1,0
273,296,1,2024-05-14,1,7,25,52,14,521,1,0
274,297,1,2023-07-01,1,4,13,83,7,522,1,0
275,297,1,2023-06-03,1,4,13,83,7,524,1,0
276,298,1,2024-06-03,1,8,29,98,16,525,1,0
277,300,1,2024-10-04,1,12,44,232,24,527,1,0
278,303,2,2026-02-03,1,11,40,112,21,530,1,0
279,304,1,2026-05-18,1,8,29,187,16,531,1,0
280,305,1,2024-11-08,1,8,28,36,16,532,1,0
281,305,1,2024-11-25,1,8,28,36,16,534,1,0
282,306,1,2026-09-23,1,6,22,24,12,535,1,0
283,308,1,2023-11-15,1,2,8,222,4,537,1,0
284,308,2,2023-12-25,1,2,8,222,4,538,1,0
285,308,1,2023-12-28,1,2,8,222,4,539,1,0
286,309,2,2025-12-15,1,10,36,186,20,540,1,0
287,310,2,2025-04-05,1,9,31,120,18,542,1,0
288,311,1,2027-01-23,1,12,47,68,24,544,1,0
289,311,1,2027-01-05,1,12,47,68,24,545,1,0
290,311,2,2027-01-04,1,12,47,68,24,546,1,0
291,312,1,2024-07-23,1,9,34,207,18,548,1,0
292,313,2,2025-08-04,1,1,3,166,1,549,1,0
293,315,1,2025-04-18,1,10,36,40,20,551,1,0
294,316,1,2024-10-06,1,9,31,219,18,553,1,0
295,317,1,2024-07-14,1,10,37,227,20,555,1,0
296,318,1,2026-03-29,1,14,54,31,28,556,1,0
297,319,1,2024-03-28,1,12,45,214,23,557,1,0
298,321,1,2024-04-22,1,6,23,5,12,559,1,0
299,322,2,2023-07-15,2,17,49,181,25,560,1,0
300,323,1,2026-07-27,1,9,32,123,17,562,1,0
301,326,1,2023-05-13,1,14,55,146,27,565,1,0
302,327,1,2026-06-25,1,10,37,12,20,566,1,0
303,328,1,2025-06-01,1,3,11,43,5,567,1,0
304,328,1,2025-04-19,1,3,11,43,5,569,1,0
305,332,1,2024-10-13,1,1,3,166,2,573,1,0
306,334,1,2026-01-07,1,6,23,246,11,577,1,0
307,335,1,2026-12-31,1,5,20,100,10,578,1,0
308,336,1,2025-09-04,1,13,49,203,26,579,1,0
309,337,1,2026-07-22,1,12,45,215,23,580,1,0
310,338,1,2026-09-09,1,12,46,126,23,583,1,0
311,338,2,2026-10-01,1,12,46,126,23,584,1,0
312,339,1,2026-11-10,3,18,51,4,26,585,1,0
313,339,1,2027-01-04,1,13,51,4,26,586,1,0
314,340,2,2026-11-11,1,11,39,25,21,587,1,0
315,340,1,2026-11-22,1,11,39,25,21,588,1,0
316,341,1,2026-12-25,1,9,33,180,17,590,1,0
317,343,1,2025-09-13,1,11,40,112,22,593,1,0
318,345,1,2024-01-25,1,15,60,27,29,595,1,0
319,347,1,2024-05-24,1,1,5,115,2,598,1,0
320,350,1,2024-10-04,1,8,28,155,16,601,1,0
321,350,1,2024-11-23,1,8,28,155,16,602,1,0
322,351,1,2026-05-11,2,17,25,33,13,604,1,0
323,351,1,2026-05-26,1,7,25,33,13,606,1,0
324,352,1,2026-06-04,1,3,11,238,5,607,1,0
325,353,1,2023-01-08,1,6,22,24,11,608,1,0
326,354,1,2027-01-19,1,8,29,69,16,609,1,0
327,355,1,2025-10-21,1,7,26,231,13,610,1,1
328,357,1,2023-08-30,1,14,54,164,28,613,1,0
329,357,1,2023-09-07,1,14,54,164,28,614,1,0
330,357,1,2023-10-20,1,14,54,164,28,615,1,0
331,358,2,2023-07-07,1,15,59,111,29,616,1,0
332,358,1,2023-07-07,1,15,59,111,29,617,1,0
333,358,1,2023-06-28,1,15,59,111,29,619,1,0
334,360,1,2025-04-22,1,11,41,88,22,621,1,0
335,360,2,2025-04-21,1,11,41,88,22,622,1,0
336,361,1,2024-04-18,1,7,26,38,14,623,1,0
337,362,1,2025-05-26,1,7,26,23,13,624,1,0
338,365,1,2024-05-12,1,11,42,61,21,629,1,0
339,367,1,2026-06-28,1,10,37,91,20,632,1,0
340,368,1,2026-01-08,1,3,10,65,6,633,1,0
341,371,2,2023-12-19,1,10,37,12,19,636,1,0
342,372,1,2024-03-27,1,8,28,155,15,637,1,0
343,374,2,2024-02-14,1,4,13,83,8,639,1,0
344,374,1,2024-01-03,1,4,13,83,8,641,1,0
345,374,1,2023-12-30,1,4,13,83,8,642,1,0
346,375,1,2025-01-20,1,4,13,35,8,644,1,0
347,376,1,2023-04-18,1,13,49,139,25,645,1,0
348,377,1,2024-09-22,1,8,28,36,16,646,1,0
349,378,1,2026-01-14,1,3,10,65,5,647,1,0
350,379,1,2023-08-25,1,14,55,141,27,648,1,0
351,379,1,2023-08-11,1,14,55,141,27,649,1,0
352,380,1,2026-05-26,1,12,46,196,24,651,1,0
353,380,1,2026-05-25,1,12,46,196,24,652,1,0
354,383,2,2026-11-02,1,10,36,179,20,656,1,0
355,383,2,2026-11-19,1,10,36,179,20,657,1,0
356,384,1,2024-04-04,1,12,47,205,24,658,1,0
357,385,1,2026-08-30,1,15,58,78,30,660,1,0
358,386,1,2024-11-10,1,7,25,79,13,662,1,0
359,387,1,2023-03-27,1,2,8,200,3,663,1,0
360,387,1,2023-03-28,1,2,8,200,3,664,1,0
361,388,1,2023-12-13,1,14,55,146,27,666,1,0
362,393,1,2024-11-27,2,17,18,247,9,673,1,0
363,394,1,2026-01-23,1,15,59,147,29,674,1,0
364,394,1,2026-01-07,1,15,59,147,29,675,1,0
365,395,1,2023-06-21,1,2,8,176,4,676,1,0
366,396,1,2024-08-27,1,8,28,224,15,678,1,0
367,399,2,2026-12-09,1,6,23,161,11,683,1,0
368,399,1,2026-12-07,1,6,23,161,11,684,1,0
369,399,2,2026-11-05,1,6,23,161,11,685,1,0
370,400,1,2024-07-17,1,15,57,72,30,686,1,0
371,400,1,2024-06-23,1,15,57,72,30,688,1,0
372,401,1,2025-09-13,1,6,23,5,11,689,1,0
373,401,2,2025-09-21,1,6,23,5,11,690,1,0
374,402,1,2024-01-16,1,12,45,215,23,691,1,0
375,403,1,2024-02-26,1,9,32,19,17,692,1,0
376,404,2,2023-06-08,1,11,42,117,21,693,1,0
377,407,2,2026-11-30,1,13,49,3,25,696,1,0
378,408,1,2023-04-01,1,2,7,109,4,697,1,0
379,411,1,2025-01-20,1,10,37,97,20,702,1,0
380,412,1,2025-03-17,1,13,49,3,26,703,1,0
381,413,1,2026-10-01,1,8,28,20,16,704,1,0
382,414,1,2023-06-11,1,1,4,157,2,705,1,0
383,415,1,2025-01-05,1,5,20,10,9,707,1,0
384,415,1,2024-12-08,1,5,20,10,9,708,1,0
385,416,1,2024-09-07,1,5,19,71,9,709,1,0
386,419,1,2025-10-30,1,8,28,77,16,713,1,0
387,419,1,2025-11-21,3,19,28,77,16,714,1,0
388,422,2,2024-05-16,1,3,11,43,5,717,1,0
389,422,1,2024-05-08,1,3,11,43,5,718,1,0
390,423,1,2023-09-17,3,19,8,222,4,719,1,0
391,424,1,2024-02-09,1,3,11,14,6,720,1,0
392,424,2,2024-01-05,1,3,11,14,6,721,1,0
393,424,1,2024-02-07,1,3,11,14,6,723,1,0
394,425,1,2026-11-05,1,12,45,73,24,724,1,0
395,429,1,2025-08-15,1,2,8,209,4,731,1,0
396,431,2,2025-07-14,1,12,47,68,24,734,1,0
397,432,1,2025-04-09,1,15,60,27,29,735,1,0
398,434,1,2025-12-10,1,13,49,139,26,737,1,0
399,436,2,2024-10-15,1,4,16,92,8,739,1,0
400,437,1,2025-08-13,1,13,49,203,25,740,1,0
401,438,1,2024-03-19,1,1,5,115,2,742,1,0
402,439,1,2026-02-17,1,4,14,163,7,745,1,0
403,441,1,2024-03-08,1,12,47,205,24,747,1,1
404,442,2,2024-01-07,1,12,45,73,23,750,1,0
405,443,1,2024-10-04,1,3,11,158,6,752,1,0
406,444,1,2025-02-04,1,6,23,119,12,753,1,0
407,444,1,2025-01-15,1,6,23,119,12,754,1,0
408,444,2,2025-01-17,1,6,23,119,12,755,1,0
409,444,1,2025-01-17,1,6,23,119,12,756,1,0
410,445,1,2024-02-11,1,4,13,83,7,757,1,0
411,446,1,2024-06-12,1,3,10,152,5,758,1,0
412,448,2,2025-04-22,1,9,32,128,17,760,1,0
413,448,1,2025-05-25,1,9,32,128,17,762,1,0
414,452,2,2025-03-29,1,5,20,6,10,767,1,0
415,453,1,2025-12-03,1,4,16,160,8,769,1,0
416,454,1,2024-04-20,1,3,10,65,6,771,1,0
417,454,1,2024-05-01,1,3,10,65,6,772,1,0
418,455,1,2025-04-04,1,7,25,79,14,773,1,0
419,455,1,2025-03-31,4,21,25,79,14,776,1,0
420,456,1,2026-11-02,1,13,49,203,26,777,1,0
421,458,1,2025-11-22,1,12,45,73,24,779,1,0
422,458,2,2025-11-20,1,12,45,73,24,780,1,0
423,459,2,2025-09-27,1,14,54,210,28,781,1,0
424,459,2,2025-10-20,1,14,54,210,28,782,1,0
425,460,2,2023-04-04,1,4,14,108,8,784,1,0
426,460,1,2023-03-03,1,4,14,108,8,785,1,0
427,461,2,2024-08-07,1,4,14,108,8,789,1,0
428,464,1,2023-12-28,1,6,23,245,11,793,1,0
429,464,1,2023-12-21,1,6,23,245,11,794,1,0
430,465,1,2025-05-17,4,20,5,115,1,795,1,0
431,465,1,2025-05-09,1,1,5,115,1,796,1,0
432,466,2,2025-01-26,1,9,31,219,17,797,1,0
433,467,1,2025-05-27,1,12,47,239,23,798,1,0
434,468,1,2023-06-06,1,9,34,140,17,799,1,0
435,470,1,2023-03-13,1,8,28,63,15,801,1,0
436,470,1,2023-03-18,1,8,28,63,15,802,1,0
437,471,1,2026-12-08,1,12,45,215,24,803,1,0
438,472,1,2023-05-19,1,11,40,135,21,805,1,0
439,472,1,2023-07-08,3,19,40,135,21,806,1,0
440,472,1,2023-07-01,1,11,40,135,21,807,1,0
441,473,1,2023-07-09,1,2,8,106,4,809,1,0
442,473,2,2023-07-01,1,2,8,106,4,810,1,0
443,474,1,2024-04-19,1,10,36,213,19,811,1,0
444,474,1,2024-05-05,1,10,36,213,19,813,1,0
445,474,2,2024-05-07,1,10,36,213,19,814,1,0
446,475,1,2023-04-25,1,5,18,167,9,815,1,0
447,475,1,2023-04-18,1,5,18,167,9,816,1,0
448,476,2,2025-12-03,1,12,46,196,23,818,1,0
449,477,1,2023-11-09,1,3,11,238,6,820,1,1
450,478,1,2024-10-12,1,11,41,223,22,822,1,0
451,478,1,2024-09-16,1,11,41,223,22,823,1,0
452,479,2,2023-04-17,1,5,18,198,9,824,1,0
453,479,1,2023-04-03,1,5,18,198,9,825,1,0
454,480,1,2024-11-29,1,2,7,145,3,826,1,0
455,480,2,2024-10-29,1,2,7,145,3,827,1,0
456,481,1,2024-02-08,1,6,23,57,12,828,1,0
457,483,1,2025-08-11,1,9,32,19,18,831,1,0
458,483,1,2025-08-26,1,9,32,19,18,832,1,1
459,484,1,2026-05-11,1,2,8,234,4,833,1,0
460,489,1,2025-06-16,1,7,26,38,14,840,1,0
461,492,1,2023-08-29,1,13,50,54,25,845,1,0
462,493,1,2025-02-06,1,5,18,202,10,846,1,0
463,494,2,2026-03-08,1,15,58,66,30,847,1,0
464,498,1,2023-04-11,1,8,28,36,15,851,1,0
465,499,1,2025-03-13,1,13,51,190,26,853,1,0
466,501,1,2026-08-29,1,4,13,35,8,856,1,0
467,502,2,2024-02-25,1,15,59,111,29,857,1,0
468,503,1,2024-05-27,1,12,46,196,23,858,1,0
469,504,2,2026-04-11,1,1,2,29,1,859,1,0
470,507,2,2024-09-16,1,1,2,96,2,862,1,0
471,507,2,2024-10-05,1,1,2,96,2,863,1,0
472,509,1,2024-12-13,1,2,8,240,3,866,1,0
473,510,1,2023-12-22,1,5,19,216,10,869,1,0
474,511,2,2025-06-19,1,11,41,8,22,870,1,0
